ALUMINIUM HYDROXIDE,"Oral suspension: Aluminium hydroxide 250 mg/5 ml and Magnesium hydroxide 250 mg/5 ml; Tablets/Gel: may contain simethicone, and some contain algenic acid",Ulcer and non ulcer dyspepsia; gastro-oesophageal reflux.,"Hypophosphatemia, undiagnosed GI or rectal bleeding, appendicitis, porphyria, renal impairment (aluminium may accumulate), constipation, hepatic impairment, dehydration.",Tablets: 1-2 tablets chewed 4 times a day and at bed time or as required; Suspension: 5-10 ml 4 times daily between meals and at bedtime; Children (6-12 years): up to 5 ml 3 times daily,"Constipation, haemorrhoids, fissures, faecal impaction","Decreases absorption of digoxin, azithromycin, ciprofloxacin, norfloxacin, rifampicin, tetracycline, isoniazid Patient information: Take with water to decrease constipation"
DABIGATRAN,Capsule: 75 mg and 150 mg,"Stroke prophylaxis with atrial fibrillation, DVT/pulmonary
embolus treatment and or prophylaxis.","Severe renal impairment (CrCl <15 mL/min)
or haemodialysis, hypersensitivity, active pathologic bleeding, impairment of
haemostasis. Increased bleeding risk during labor and delivery, discontinue
1-2 days (CrCl ≥50 mL/min) or 3-5 days (CrCl <50 mL/min) before invasive
or surgical procedure to decrease bleeding risk, monitor Ecarin clotting time
(ECT), if unavailable than monitor aPPT, PT, or TT; aPPT. Also see under
apixaban and fondaparinux.","• Stroke prophylaxis with atrial fibrillation: adult, oral: CrCl >30 mL/min: 150
mg twice a day, CrCl 15-30 mL/min: 75 mg PO twice a day,
• DVT/pulmonary embolus treatment: adult, oral: CrCl >30 mL/min: 150 mg
twice a day,
• DVT/pulmonary embolus treatment prophylaxis: adult, oral: CrCl >30 mL/
min: 110 mg 1-4 hr after surgery and after haemostasis has been achieved
on first day, then 220 mg taken once a day for 28-35 days.","Dyspepsia, gastritis, intracranial hemorrhage,
hypersensitivity including urticaria, rash, pruritic.",
RIVAROXABAN,"Tablets: 10 mg, 15 mg and 20 mg","Prophylaxis of venous thromboembolism (orthopaedic surgery),
deep vein thrombosis, pulmonary embolism, nonvalvular atrial fibrillation.","Hypersensitivity, active bleeding, malignant
neoplasms, oesophageal varices, recent brain surgery, GI ulcer, vascular
aneurysm.Anaesthesia with postoperative indwelling epidural catheter (risk of
paralysis), bronchiectasis, prosthetic heart valve, risk of bleeding, pulmonary
embolism in patients with haemodynamic instability, severe hypertension,
vascular retinopathy. Also see under apixaban and fondaparinux.","• Prophylaxis of venous thromboembolism (orthopaedic surgery): oral, adult:
10 mg once a day for 12 days,
• Deep vein thrombosis or pulmonary embolism: oral, adult: 15 mg twice a
day for 21 days then 20 mg per oral once a day for 6 months.","Abdominal pain, constipation, diarrhoea, dizziness,
dyspepsia haemorrhage, headache, hypotension, nausea, pain in extremities,
pruritus, rash, renal impairment, vomiting","Analgesics and anticoagulants (increases risk
of haemorrhage), antibacterial, antidepressants, antiepileptics (decreases
plasma concentration of rivaroxaban), antifungal and antiviral (increases
plasma concentration of rivaroxaban)."
ASPIRIN,"Tablet: 50 mg, 75 mg and 300 mg.","Prophylaxis of cerebro vascular diseases, and myocardial
infarction, thromboembolic disorder, post-MI, ischemic stroke and angina","Antiplatelet drugs are not used in
the management of haemorrhagic stroke, hypersensitivity (including
asthma, angioedema, urticaria) to
acetylsalicyclic, active
peptic
ulceration,haemophilia and other bleeding disorder. Asthma, uncontrolled
hypertension, pregnancy. Tell the patient to take aspirin after food with full
glass of plenty of water to reduce stomach irritation. Aspirin should not be
given to children and adolescent due to Reye’s syndrome. Watch for signs of
bleeding. Watch for the sign of salicylate poisioning.","• Thromboembolic disorders: Adult: oral 325-650 mg/day.
• Transient ischemic attack: adult oral 50-325 mg/day.
• Evolving MI with ST segment elevation: adult oral 160-325 mg nonenteric,
chewed and swallowed immediately, maintenance 75-162 mg/day MI,
• Stroke prophylaxis: adult oral 50-325 mg/day","Bronchospasm, GI bleeding, thrombocytopenia, seizures,
Reye’ syndrome","Aspirin may increase the effects of oral
hypoglycemic effects.if it is given with anticoagulant; the chance of bleeding
will be increased."
CLOPIDOGREL,Tablet: 75 mg,"Prevention of atherothrombotic events, transient ischaemic
attack or acute ischaemic stroke for patients with aspirin hypersensitivity/
intolerant of aspirin, Prevention of artherothrombotic events in acute
coronary syndrome with or without ST-segment elevation (given with aspirin)","Hypersensitivity, Coagulation disorders,
active pathological bleeding. Risk of increased bleeding form trauma, surgery
or other pathological conditions. Pregnancy: Avoid, hepatic and renal
impairment: use with caution.","• Prevention of atherothrombotic events in percutaneous coronary
intervention (adjunct with aspirin) in patients not already on clopidogrel:
Adult, oral: Loading dose 300 mg, to be taken prior to the procedure, Or
loading dose 600 mg, higher dose may produce a greater and more rapid
inhibition of platelet aggregation
• Transient ischaemic attack for patients with aspirin hypersensitivity/
intolerant of aspirin, acute ischaemic stroke for patients with aspirin
hypersensitivity/ intolerant of aspirin: Adult, oral: 75 mg once daily
• Prevention of atherothrombotic events in peripheral arterial disease or
within 35 days of MI/ within 6 months of ischaemic stroke: Adult, oral: 75
mg once daily
• Prevention of artherothrombotic events in acute coronary syndrome
without ST-segment elevation (given with aspirin): Adult, oral: Initially 300
mg, then 75 mg daily for up to 12 months
• Prevention of artherothrombotic events in acute myocardial infarction with
ST-segment elevation (given with aspirin): Adult, oral: 18–75 years: Initially
300 mg, then 75 mg for at least 4 weeks. >75years and over: 75 mg daily
• Prevention of atherothrombotic and thromboembolic events in patients
with atrial fibrillation (with aspirin) and for whom warfarin is unsuitable:
Adult, oral: 75 mg once daily","Abdominal pain, bleeding disorders (including gastro-
intestinal and intracranial), diarrhea, dyspepsia.","Anticoagulants, aspirin, NSAIDS, increase
bleeding risks. It increases action of some NSAIDSs, Phenytoin, Tamoxifen.
Proton pump inhibitor decrease clopidogrel effects."
PRASUGREL,Tablet: 5 mg and 10 mg,"Prevention of atherothrombotic events in patients with acute
coronary syndrome undergoing percutaneous coronary intervention, Patients
undergoing coronary angiography within 48 hours of admission for unstable
angina or NSTEMI, alternative to clopidogrel in certain patients undergoing
percutaneous coronary intervention","Active bleeding, history of stroke or
transient ischemic attack. Pregnancy: D, Breastfeeding: avoid, Hepatic
impairment: Use with caution in moderate impairment, increased risk of
bleeding. Avoid in severe impairment, renal impairment Use with caution—
increased risk of bleeding. Body weight less than 60 kg, discontinue at least
7 days before elective surgery if antiplatelet effect not desirable, elderly,
patients at increased risk of bleeding(e.g. from recent trauma, surgery,
gastrointestinal bleeding, or active peptic ulcer disease)","• In combination with aspirin for the prevention of atherothrombotic events
in patients with acute coronary syndrome undergoing percutaneous
coronary intervention: Adult, oral: 18–74 years :body-weight up to 60 kg:
Initially 60 mg for 1 dose, then 5 mg once daily usually for up to 12 months.
body-weight ≥60 kg: Initially 60 mg for 1 dose, then 10 mg once daily usually
for up to 12 months. ≥75 years: : Initially 60 mg for 1 dose, then 5 mg once
daily usually for up to 12 months.
• Patients undergoing coronary angiography within 48 hours of admission for
unstable angina or NSTEMI: Adult, oral: Initially 60 mg, to be administered
at the time of percutaneous coronary intervention to minimize the risk of
bleeding, maintenance dose of 10 mg or 5 mg daily should then be selected
as appropriate.
• Alternative to clopidogrel in certain patients undergoing percutaneous
coronary intervention: Adult, oral: 60 mg as a single dose","Anemia, gastro-intestinal hemorrhage, hematoma,
hematuria, hemorrhage, intracranial hemorrhage, rash","More chance hypersensitivity reaction while
administered with thienopyridines (e.g. clopidogrel)"
TICLOPIDINE,Tablet: 250 mg,"Coronary artery stent thrombosis (prevention), stroke","Neutropenia,
thrombocytopenia,
hemostatic disorder or active bleeding, severe hepatic impairment, history
of either thrombotic thrombocytopenic purpura (TTP) or aplastic anemia.
Pregnancy: B. Breast feeding: avoid. Hepatic impairment: caution, avoid in
severe hepatic impairment. Monitor Complete blood count, Liver function
test prior to initiation of treatment and every 2 weeks for the first 3 months.
May cause lifethreatening hematologic events, inclusing neutropenia,
agranulocytosis, thrombocytopenia purpura and aplastic anemia.","• Coronary artery stent thrombosis (prevention): Adult, oral: 250 mg twice a
day with aspirin for 30 days.
• Stroke: adult, oral: 250 mg twice daily with food.","Diarrhea, elevated alkaline phosphatase and aspartate
aminotransferase, nausea, dyspepsia, rash, neutropenia, purpura","Concurrent use of other anticoagulant drugs
increases the incidence of bleeding"
ETHAMSYLATE,Tablet: 500 mg,"Blood loss in menorrhagia, post-partum bleeding, post abortion
bleeding.","Pregnancy or breastfeeding woman;
Category B. Avoid excess dosage.The drug should be used with caution if
patient develops fever with treatment, non-cancerous growths fibroids in
uterus and, porphyria","Oral, adult: 500 mg 4 times daily
during menstruation.","Headache, rashes, hypotension",
TRANEXAMIC ACID,Tablet: 500 mg,"Menorrhagia, epistaxis, thrombolytic overdose, hereditary
angioedema, prophylaxis of hereditary angioedema.","Severe renal impairment (CrCl<1.5 mg/dl)
and thromboembolic disease. Caution in renal impairment and pregnancy","• Menorrhagia (initiated when menstruation started): oral, adult: 1 g 3 times
daily for up to 4 days, maximum 4 g daily.
• Local fibrinolysis: adult, oral: 15-25 mg/kg 2-3 times daily. Epistaxis: oral,
adult: 1 g 3 times a day for 7 days.
• Hereditary angioedema: oral, adult: 1–1.5 g 2–3 times a day, for short-term.
Patient information: Drug shouldn’t be used in combination with hormonal
contraceptives (birth control pills, patches, rings, injection). Do not take for
more than 5 days in a row.","Nausea, vomiting, diarrhoea, disturbances in colour vision,
nose stuffiness",
DESMOPRESSIN,"Tablets: 100 mcg, 200 mcg. Injection: 4 mcg.","For bleeding control, diabetes insipidus, primary nocturnal
enuresis.","Hypersensitivity, pseudo Von Willebrand’s
disease, cardiac insufficiency, angina pectoris, hypertension, renal
impairment, hypertension and cardiovascular disease. Rhinitis or Upper
respiratory tract infection can decrease the effectiveness of intranasal
preparation","• Hemophilia A/ Von Willebrand’s disease: Intranasal (adults and children) 1
spray (150 mcg) in each nostril (if >50 kg), in one nostril (if <50 kg)
• Diabetes insipidus diagnosis: subcutaneous or intramuscular, adult and
child, 2 mcg; Treatment: subcutaneous, intramuscular or intravenous, adult:
1-4 mcg daily, child: 400 nanogram.
• Renal function testing: subcutaneous or intramuscular, adult and child: 2
mcg","Fluid retention, headache, nausea, vomiting, epistaxis,
allergic reaction. Less pressor activity, but still need for considerable caution
in renal impairment, cardiovascular disease and hypertension.","Chlorpropamide, clofibrate or carbamazipine
may enhance antidiuretic response to desmopressin. Demeclocycline,
lithium, norepinephrine, alcohol may diminish the antidiuretic response to
desmopressin."
CALCIUM,"Tablets: 1.25 g calcium carbonate (equivalent to
500 mg calcium); Injection: 500 mg/5 ml, 1 g/10 ml (as calcium gluconate)
and 100 mg/10 ml (as calcium chloride)","Hypocalcemia in tetany, osteoporosis","Hypercalcemic states, do not use if allergic
to any ingredients of calcium preparations","• Supplement: 1-2 g between meals; daily requirement varies with the age and
is greater in childhood, pregnancy, lactation and old age
• Acute hypocalcaemia: 1-2 g by slow intravenous injection","Constipation, bradycardia, cardiac arrhythmia, hypotension
and irritation after parenteral administration","Reduce absorption of ciprofloxacin,
tetracycline, iron, bisphosphonates"
PHOSPHATES,"Tablet: Potassium phosphate 126 mg with Sodium
phosphate 67 mg; Potassium phosphate 250 mg with Sodium phosphate 160
mg; Potassium phosphate 250 with Sodium phosphate 298 mg",Treatment of hypophosphatemia,"Hyperphosphotemia,
hyperkalemia,
hypocalcemia, hypomagnesemia",,"Diarrhoea, nausea, vomiting, fluid retention, and
hypocalcaemia",
SODIUM FLUORIDE,Tablet: 2.2 mg; Mouth wash: 0.05% and 0.2%,Prevention of dental caries,"Infants under 6 months of age, advisable
to institute artificial fluoridation in areas with drinking water containing less
than 700 μg/l (0.7 ppm)","• Water content less than 0.3 ppm: child up to 6 months none; 6 months-3
years 250 μg daily; 3-6 years 500 μg daily; over 6 years 1 mg daily;
• Water content 0.3-0.7 ppm: child up to 3 years none; 3-6 years 250 μg daily,
over 6 years 500 μg daily;
• Prevention of dental caries: as oral rinse, child over 6 years 10 ml 0.05%
solution daily or 10 ml 0.2% solution weekly","White flakes on teeth with recommended doses; Yellowish
brown discoloration of teeth with more than recommended doses",
